KSAT_ID;KSAT_Type;KSAT_Description
30471;Task;Document original condition of digital and/or associated evidence (e.g., via digital photographs, written reports, hash function checking).
30472;Task;Draft, staff, and publish cyber policy.
30473;Task;Document and update as necessary all definition and architecture activities.
30474;Task;Provide legal analysis and decisions to inspectors general, privacy officers, oversight and compliance personnel regarding compliance with cybersecurity policies and relevant legal and regulatory requirements.
30475;Task;Assess adequate access controls based on principles of least privilege and need-to-know.
30476;Task;Evaluate the impact of changes to laws, regulations, policies, standards, or procedures.
30477;Task;Ensure the execution of disaster recovery and continuity of operations.
30478;Task;Provide guidance on laws, regulations, policies, standards, or procedures to management, personnel, or clients.
30479;Task;Employ information technology (IT) systems and digital storage media to solve, investigate, and/or prosecute cybercrimes and fraud committed against people and property. 
30480;Task;Identify components or elements, allocate comprehensive functional components to include security functions, and describe the relationships between the elements.
30481;Task;Identify and address cyber workforce planning and management issues (e.g. recruitment, retention, and training).
30482;Task;Make recommendations based on trend analysis for enhancements to software and hardware solutions to enhance customer experience.
30483;Task;Identify potential conflicts with implementation of any cyber defense tools (e.g., tool and signature testing and optimization).
30484;Task;Determine the protection needs (i.e., security controls) for the information system(s) and network(s) and document appropriately.
30485;Task;Implement security measures to resolve vulnerabilities, mitigate risks, and recommend security changes to system or system components as needed.
30486;Task;Implement Risk Management Framework (RMF)/Security Assessment and Authorization (SA&A) requirements for dedicated cyber defense systems within the enterprise, and document and maintain records for them.
30487;Task;Facilitate implementation of new or revised laws, regulations, executive orders, policies, standards, or procedures.
30488;Task;Implement designs for new or existing system(s).
30489;Task;Implement system security measures in accordance with established procedures to ensure confidentiality, integrity, availability, authentication, and non-repudiation.
30490;Task;Install and configure database management systems and software.
30491;Task;Install and configure hardware, software, and peripheral equipment for system users in accordance with organizational standards.
30492;Task;Ensure the integration and implementation of Cross-Domain Solutions (CDS) in a secure environment. 
30493;Task;Lead and oversee budget, staffing, and contracting.
30494;Task;Administer accounts, network rights, and access to systems and equipment.
30495;Task;Manage Accreditation Packages (e.g., ISO/IEC 15026-2).
30496;Task;Perform asset management/inventory of information technology (IT) resources.
30497;Task;Manage the information technology (IT) planning process to ensure that developed solutions meet customer requirements.
30498;Task;Manage system/server resources including performance, capacity, availability, serviceability, and recoverability.
30499;Task;Mitigate/correct security deficiencies identified during security/certification testing and/or recommend risk acceptance for the appropriate senior leader or authorized representative.
30500;Task;Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.
30501;Task;Monitor and maintain system/server configuration.
30502;Task;Monitor and report client-level computer system performance.
30503;Task;Monitor external data sources (e.g., cyber defense vendor sites, Computer Emergency Response Teams, Security Focus) to maintain currency of cyber defense threat condition and determine which security issues may have an impact on the enterprise.
30504;Task;Assess and monitor cybersecurity related to system implementation and testing practices.
30505;Task;Monitor the rigorous application of cyber policies, principles, and practices in the delivery of planning and management services.
30506;Task;Seek consensus on proposed policy changes from stakeholders.
30507;Task;Oversee installation, implementation, configuration, and support of system components.
30508;Task;Verify minimum security requirements are in place for all applications.
30509;Task;Perform an information security risk assessment.
30510;Task;Coordinate incident response functions.
30511;Task;Perform developmental testing on systems under development.
30512;Task;Perform interoperability testing on systems exchanging electronic information with other systems.
30513;Task;Perform operational testing.
30514;Task;Diagnose faulty system/server hardware.
30515;Task;Perform repairs on faulty system/server hardware.
30516;Task;Perform secure program testing, review, and/or assessment to identify potential flaws in codes and mitigate vulnerabilities.
30517;Task;Integrate results regarding the identification of gaps in security architecture.
30518;Task;Perform security reviews and identify security gaps in architecture.
30519;Task;Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for the most effective learning environment.
30520;Task;Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses).
30521;Task;Plan implementation strategy to ensure that enterprise components can be integrated and aligned.
30522;Task;Prepare legal and other relevant documents (e.g., depositions, briefs, affidavits, declarations, appeals, pleadings, discovery).
30523;Task;Prepare reports to document the investigation following legal standards and requirements.
30524;Task;Promote knowledge sharing between information owners/users through an organization’s operational processes and systems.
30525;Task;Provide enterprise cybersecurity and supply chain risk management guidance.
30526;Task;Provides cybersecurity recommendations to leadership based on significant threats and vulnerabilities.
30527;Task;Provide input to implementation plans and standard operating procedures as they relate to information systems security. 
30528;Task;Provide input to implementation plans, standard operating procedures, maintenance documentation, and maintenance training materials
30529;Task;Provide policy guidance to cyber management, staff, and users.
30530;Task;Develop a trend analysis and impact report.
30531;Task;Troubleshoot hardware/software interface and interoperability problems.
30532;Task;Review forensic images and other data sources (e.g., volatile data) for recovery of potentially relevant information.
30533;Task;Review, conduct, or participate in audits of cyber programs and projects.
30534;Task;Conduct periodic reviews/revisions of course content for accuracy, completeness alignment, and currency (e.g., course content documents, lesson plans, student texts, examinations, schedules of instruction, and course descriptions).
30535;Task;Recommend revisions to curriculum and course content based on feedback from previous training sessions.
30536;Task;Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media).
30537;Task;Support the CIO in the formulation of cyber-related policies.
30538;Task;Provide support to test and evaluation activities.
30539;Task;Test, evaluate, and verify hardware and/or software to determine compliance with defined specifications and requirements. 
30540;Task;Record and manage test data. 
30541;Task;Trace system requirements to design components and perform gap analysis.
30542;Task;Translate proposed capabilities into technical requirements.
30543;Task;WITHDRAWN: Use data carving techniques (e.g., FTK-Foremost) to extract data for further analysis.
30544;Task;Verify stability, interoperability, portability, and/or scalability of system architecture.
30545;Task;Work with stakeholders to resolve computer security incidents and vulnerability compliance.
30546;Task;Write and publish cyber defense recommendations, reports, and white papers on incident findings to appropriate constituencies.
30547;Task;Research and evaluate available technologies and standards to meet customer requirements.
30548;Task;Provide advice and input for Disaster Recovery, Contingency, and Continuity of Operations Plans.
30549;Task;Perform technical (evaluation of technology) and nontechnical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications).
30550;Task;Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems and processes).
30551;Task;Draft and publish supply chain security and risk management documents.
30552;Task;Review and approve a supply chain security/risk management policy.
30553;Task;Apply cybersecurity functions (e.g., encryption, access control, and identity management) to reduce exploitation opportunities.
30554;Task;Determine and document software patches or the extent of releases that would leave software vulnerable.
30555;Task;Document how the implementation of a new system or new interface between systems impacts the current and target environment including but not limited to security posture.
30556;Task;Assess and design security management functions as related to cyberspace.
30557;Task;Integrate key management functions as related to cyberspace.
30558;Task;Analyze user needs and requirements to plan and conduct system development.
30559;Task;Develop designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations.
30560;Task;Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).
30561;Task;Accurately characterize targets.
30562;Task;Adjust collection operations or collection plan to address identified issues/challenges and to synchronize collections with overall operational requirements.
30563;Task;Provide input to the analysis, design, development or acquisition of capabilities used for meeting objectives.
30564;Task;Analyze feedback to determine extent to which collection products and services are meeting requirements.
30565;Task;Analyze incoming collection requests.
30566;Task;Analyze internal operational architecture, tools, and procedures for ways to improve performance.
30567;Task;Analyze target operational architecture for ways to gain access.
30568;Task;Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (e.g., duration, scope, communication requirements, interagency/international agreements).
30569;Task;Answer requests for information.
30570;Task;Apply and utilize authorized cyber capabilities to enable access to targeted networks.
30571;Task;Apply expertise in policy and processes to facilitate the development, negotiation, and internal staffing of plans and/or memorandums of agreement.
30572;Task;Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements.
30573;Task;Assess and apply operational environment factors and risks to collection management process.
30574;Task;Apply and obey applicable statutes, laws, regulations and policies.
30575;Task;Coordinate for intelligence support to operational planning activities.
30576;Task;Assess all-source intelligence and recommend targets to support cyber operation objectives.
30577;Task;Assess efficiency of existing information exchange and management systems.
30578;Task;Assess performance of collection assets against prescribed specifications.
30579;Task;Assess target vulnerabilities and/or operational capabilities to determine course of action.
30580;Task;Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and adjust collection strategies and collection requirements accordingly.
30581;Task;Assist and advise interagency partners in identifying and developing best practices for facilitating operational support to achievement of organization objectives.
30582;Task;Provide expertise to course of action development.
30583;Task;Provide subject matter expertise to the development of a common operational picture. 
30584;Task;Maintain a common intelligence picture.
30585;Task;Provide subject matter expertise to the development of cyber operations specific indicators.
30586;Task;Assist in the coordination, validation, and management of all-source collection requirements, plans, and/or activities.
30587;Task;Assist in the development and refinement of priority information requirements.
30588;Task;Provide expertise to the development of measures of effectiveness and measures of performance.
30589;Task;Assist in the identification of intelligence collection shortfalls.
30590;Task;Enable synchronization of intelligence support plans across partner organizations as required.
30591;Task;Perform analysis for target infrastructure exploitation activities.
30592;Task;Provide input to the identification of cyber-related success criteria.
30593;Task;Brief threat and/or target current situations.
30594;Task;Build and maintain electronic target folders.
30595;Task;Classify documents in accordance with classification guidelines.
30596;Task;Close requests for information once satisfied.
30597;Task;Collaborate with intelligence analysts/targeting organizations involved in related areas.
30598;Task;Collaborate with development organizations to create and deploy the tools needed to achieve objectives.
30599;Task;Collaborate with other customer, Intelligence and targeting organizations involved in related cyber areas.
30600;Task;Collaborate with other internal and external partner organizations on target access and operational issues.
30601;Task;Collaborate with other team members or partner organizations to develop a diverse program of information materials (e.g., web pages, briefings, print materials).
30602;Task;Collaborate with customer to define information requirements.
30603;Task;Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers.
30604;Task;Compare allocated and available assets to collection demand as expressed through requirements.
30605;Task;Compile lessons learned from collection management activity's execution of organization collection objectives.
30606;Task;Compile, integrate, and/or interpret all-source data for intelligence or vulnerability value with respect to specific targets.
30607;Task;Identify and conduct analysis of target communications to identify information essential to support operations.
30608;Task;Conduct analysis of physical and logical digital technologies (e.g., wireless, SCADA, telecom) to identify potential avenues of access. 
30609;Task;Conduct access enabling of wireless computer and digital networks.
30610;Task;Conduct collection and processing of wireless computer and digital networks.
30611;Task;Conduct end-of-operations assessments.
30612;Task;Conduct exploitation of wireless computer and digital networks.
30613;Task;Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures.
30614;Task;Conduct independent in-depth target and technical analysis including target-specific information (e.g., cultural, organizational, political) that results in access.
30615;Task;Conduct in-depth research and analysis.
30616;Task;Conduct network scouting and vulnerability analyses of systems within a network.
30617;Task;Conduct nodal analysis.
30618;Task;Conduct on-net activities to control and exfiltrate data from deployed technologies.
30619;Task;Conduct on-net and off-net activities to control, and exfiltrate data from deployed, automated technologies.
30620;Task;Conduct open source data collection via various online tools.
30621;Task;Conduct quality control to determine validity and relevance of information gathered about networks.
30622;Task;Develop, review and implement all levels of planning guidance in support of cyber operations.
30623;Task;Conduct survey of computer and digital networks.
30624;Task;Conduct target research and analysis.
30625;Task;Consider efficiency and effectiveness of collection assets and resources if/when applied against priority information requirements.
30626;Task;Construct collection plans and matrixes using established guidance and procedures.
30627;Task;Contribute to crisis action planning for cyber operations.
30628;Task;Contribute to the development of the organization's decision support tools if necessary.
30629;Task;Contribute to the development, staffing, and coordination of cyber operations policies, performance standards, plans and approval packages with appropriate internal and/or external decision makers.
30630;Task;Incorporate intelligence equities into the overall design of cyber operations plans.
30631;Task;Coordinate resource allocation of collection assets against prioritized collection requirements with collection discipline leads.
30632;Task;Coordinate inclusion of collection plan in appropriate documentation.
30633;Task;Coordinate target vetting with appropriate partners.
30634;Task;Re-task or re-direct collection assets and resources.
30635;Task;Coordinate with intelligence and cyber defense partners to obtain relevant essential information.
30636;Task;Coordinate with intelligence planners to ensure that collection managers receive information requirements.
30637;Task;Coordinate with the intelligence planning team to assess capability to satisfy assigned intelligence tasks.
30638;Task;Coordinate, produce, and track intelligence requirements.
30639;Task;Coordinate, synchronize and draft applicable intelligence sections of cyber operations plans.
30640;Task;Use intelligence estimates to counter potential target actions.
30641;Task;Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.
30642;Task;Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology.
30643;Task;Deploy tools to a target and utilize them once deployed (e.g., backdoors, sniffers).
30644;Task;Detect exploits against targeted networks and hosts and react accordingly.
30645;Task;Determine course of action for addressing changes to objectives, guidance, and operational environment.
30646;Task;Determine existing collection management webpage databases, libraries and storehouses.
30647;Task;Determine how identified factors affect the tasking, collection, processing, exploitation and dissemination architecture's form and function.
30648;Task;Determine indicators (e.g., measures of effectiveness) that are best suited to specific cyber operation objectives.
30649;Task;Determine organizations and/or echelons with collection authority over all accessible collection assets.
30650;Task;Determine what technologies are used by a given target.
30651;Task;Develop a method for comparing collection reports to outstanding requirements to identify information gaps.
30652;Task;Develop all-source intelligence targeting materials.
30653;Task;Apply analytic techniques to gain more target information.
30654;Task;Develop and maintain deliberate and/or crisis plans.
30655;Task;Develop and review specific cyber operations guidance for integration into broader planning activities.
30656;Task;Develop and review intelligence guidance for integration into supporting cyber operations planning and execution.
30657;Task;Develop coordinating instructions by collection discipline for each phase of an operation.
30658;Task;Develop cyber operations plans and guidance to ensure that execution and resource allocation decisions align with organization objectives.
30659;Task;Develop detailed intelligence support to cyber operations requirements.
30660;Task;Develop information requirements necessary for answering priority information requests.
30661;Task;Develop measures of effectiveness and measures of performance.
30662;Task;Allocate collection assets based on leadership's guidance, priorities, and/or operational emphasis.
30663;Task;Develop munitions effectiveness assessment or operational assessment materials.
30664;Task;Develop new techniques for gaining and keeping access to target systems.
30665;Task;Develop or participate in the development of standards for providing, requesting, and/or obtaining support from external partners to synchronize cyber operations.
30666;Task;Develop or shape international cyber engagement strategies, policies, and activities to meet organization objectives.
30667;Task;Develop potential courses of action.
30668;Task;Develop procedures for providing feedback to collection managers, asset managers, and processing, exploitation and dissemination centers.
30669;Task;Develop strategy and processes for partner planning, operations, and capability development.
30670;Task;Develop, implement, and recommend changes to appropriate planning procedures and policies.
30671;Task;Develop, maintain, and assess cyber cooperation security agreements with external partners.
30672;Task;Devise, document, and validate cyber operation strategy and planning documents.
30673;Task;Disseminate reports to inform decision makers on collection issues.
30674;Task;Disseminate tasking messages and collection plans.
30675;Task;Conduct and document an assessment of the collection results using established procedures.
30676;Task;Draft cyber intelligence collection and production requirements.
30677;Task;Edit or execute simple scripts (e.g., Perl, VBScript) on Windows and UNIX systems.
30678;Task;Engage customers to understand customers’ intelligence needs and wants.
30679;Task;Ensure operational planning efforts are effectively transitioned to current operations.
30680;Task;Ensure that intelligence planning activities are integrated and synchronized with operational planning timelines.
30681;Task;Establish alternative processing, exploitation and dissemination pathways to address identified issues or problems.
30682;Task;Validate the link between collection requests and critical information requirements and priority intelligence requirements of leadership.
30683;Task;Establish processing, exploitation and dissemination management activity using approved guidance and/or procedures.
30684;Task;Estimate operational effects generated through cyber activities.
30685;Task;Evaluate threat decision-making processes.
30686;Task;Identify threat vulnerabilities.
30687;Task;Identify threats to Blue Force vulnerabilities.
30688;Task;Evaluate available capabilities against desired effects to recommend efficient solutions.
30689;Task;Evaluate extent to which collected information and/or produced intelligence satisfy information requests.
30690;Task;Evaluate intelligence estimates to support the planning cycle.
30691;Task;Evaluate the conditions that affect employment of available cyber intelligence capabilities.
30692;Task;Generate and evaluate the effectiveness of network analysis strategies.
30693;Task;Evaluate extent to which collection operations are synchronized with operational requirements.
30694;Task;Evaluate the effectiveness of collection operations against the collection plan.
30695;Task;Examine intercept-related metadata and content with an understanding of targeting significance.
30696;Task;Exploit network devices, security devices, and/or terminals or environments using various methods or tools.
30697;Task;Facilitate access enabling by physical and/or wireless means.
30698;Task;Facilitate continuously updated intelligence, surveillance, and visualization input to common operational picture managers.
30699;Task;Facilitate interactions between internal and external partner decision makers to synchronize and integrate courses of action in support of objectives.
30700;Task;Facilitate the sharing of “best practices” and “lessons learned” throughout the cyber operations community.
30701;Task;Collaborate with developers, conveying target and technical knowledge in tool requirements submissions, to enhance tool development.
30702;Task;Formulate collection strategies based on knowledge of available intelligence discipline capabilities and gathering methods that align multi-discipline collection capabilities and accesses with targets and their observables.
30703;Task;Gather and analyze data (e.g., measures of effectiveness) to determine effectiveness, and provide reporting for follow-on activities.
30704;Task;Incorporate cyber operations and communications security support plans into organization objectives.
30705;Task;Incorporate intelligence and counterintelligence to support plan development.
30706;Task;Gather information about networks through traditional and alternative techniques, (e.g., social network analysis, call-chaining, traffic analysis.)
30707;Task;Generate requests for information.
30708;Task;Identify threat tactics, and methodologies.
30709;Task;Identify all available partner intelligence capabilities and limitations supporting cyber operations.
30710;Task;Identify and evaluate threat critical capabilities, requirements, and vulnerabilities.
30711;Task;Identify, draft, evaluate, and prioritize relevant intelligence or information requirements.
30712;Task;Identify and manage security cooperation priorities with external partners.
30713;Task;Identify and submit intelligence requirements for the purposes of designating priority information requirements.
30714;Task;Identify collaboration forums that can serve as mechanisms for coordinating processes, functions, and outputs with specified organizations and functional groups.
30715;Task;Identify collection gaps and potential collection strategies against targets. 
30716;Task;Identify coordination requirements and procedures with designated collection authorities.
30717;Task;Identify critical target elements.
30718;Task;Identify intelligence gaps and shortfalls.
30719;Task;Identify cyber intelligence gaps and shortfalls for cyber operational planning.
30720;Task;Identify gaps in our understanding of target technology and developing innovative collection approaches.
30721;Task;Identify issues or problems that can disrupt and/or degrade processing, exploitation and dissemination architecture effectiveness.
30722;Task;Identify network components and their functionality to enable analysis and target development.
30723;Task;Identify potential collection disciplines for application against priority information requirements.
30724;Task;Identify potential points of strength and vulnerability within a network.
30725;Task;Identify and mitigate risks to collection management ability to support the plan, operations and target cycle.
30726;Task;Identify the need, scope, and timeframe for applicable intelligence environment preparation derived production.
30727;Task;Identify, locate, and track targets via geospatial analysis techniques.
30728;Task;Provide input to or develop courses of action based on threat factors.
30729;Task;Inform external partners of the potential effects of new or revised policy and guidance on cyber operations partnering activities.
30730;Task;Inform stakeholders (e.g., collection managers, asset managers, processing, exploitation and dissemination centers) of evaluation results using established procedures.
30731;Task;Initiate requests to guide tasking and assist with collection management.
30732;Task;Integrate cyber planning/targeting efforts with other organizations.
30733;Task;Interpret environment preparations assessments to determine a course of action.
30734;Task;Issue requests for information.
30735;Task;Lead and coordinate intelligence support to operational planning.
30736;Task;Lead or enable exploitation operations in support of organization objectives and target requirements.
30737;Task;Link priority collection requirements to optimal assets and resources.
30738;Task;Maintain awareness of advancements in hardware and software technologies (e.g., attend training or conferences, reading) and their potential implications.
30739;Task;Maintain relationships with internal and external partners involved in cyber planning or related areas.
30740;Task;Maintain situational awareness and functionality of organic operational infrastructure.
30741;Task;Maintain situational awareness of cyber-related intelligence requirements and associated tasking.
30742;Task;Maintain situational awareness of partner capabilities and activities.
30743;Task;Maintain situational awareness to determine if changes to the operating environment require review of the plan.
30744;Task;Maintain target lists (i.e., RTL, JTL, CTL, etc.).
30745;Task;Make recommendations to guide collection in support of customer requirements.
30746;Task;Modify collection requirements as necessary.
30747;Task;Monitor and evaluate integrated cyber operations to identify opportunities to meet organization objectives.
30748;Task;Monitor and report changes in threat dispositions, activities, tactics, capabilities, objectives, etc. as related to designated cyber operations warning problem sets.
30749;Task;Monitor and report on validated threat activities.
30750;Task;Monitor completion of reallocated collection efforts.
30751;Task;Monitor open source websites for hostile content directed towards organizational or partner interests.
30752;Task;Monitor operational environment and report on adversarial activities which fulfill leadership’s priority information requirements.
30753;Task;Monitor operational status and effectiveness of the processing, exploitation and dissemination architecture.
30754;Task;Monitor target networks to provide indications and warning of target communications changes or processing failures.
30755;Task;Monitor the operational environment for potential factors and risks to the collection operation management process.
30756;Task;Operate and maintain automated systems for gaining and maintaining access to target systems.
30757;Task;Optimize mix of collection assets and resources to increase effectiveness and efficiency against essential information associated with priority intelligence requirements.
30758;Task;Produce timely, fused, all-source cyber operations intelligence and/or indications and warnings intelligence products (e.g., threat assessments, briefings, intelligence studies, country studies).
30759;Task;Contribute to the review and refinement of policy, to include assessments of the consequences of endorsing or not endorsing such policy.
30760;Task;Provide subject matter expertise to planning teams, coordination groups, and task forces as necessary.
30761;Task;Provide subject-matter expertise and support to planning/developmental forums and working groups as appropriate.
30762;Task;WITHDRAWN: Provide subject matter expertise in course of action development.
30763;Task;Conduct long-range, strategic planning efforts with internal and external partners in cyber activities.
30764;Task;Provide subject matter expertise to planning efforts with internal and external cyber operations partners.
30765;Task;Provide subject matter expertise to development of exercises.
30766;Task;Propose policy which governs interactions with external coordination groups.
30767;Task;Perform content and/or metadata analysis to meet organization objectives.
30768;Task;Conduct cyber activities to degrade/remove information resident in computers and computer networks.
30769;Task;Perform targeting automation activities.
30770;Task;Characterize websites.
30771;Task;Provide subject matter expertise to website characterizations.
30772;Task;Prepare for and provide subject matter expertise to exercises.
30773;Task;Prioritize collection requirements for collection platforms based on platform capabilities.
30774;Task;Process exfiltrated data for analysis and/or dissemination to customers.
30775;Task;Produce network reconstructions.
30776;Task;Produce target system analysis products.
30777;Task;Profile network or system administrators and their activities.
30778;Task;Profile targets and their activities.
30779;Task;Provide advice/assistance to operations and intelligence decision makers with reassignment of collection assets and resources in response to dynamic operational situations.
30780;Task;Provide advisory and advocacy support to promote collection planning as an integrated component of the strategic campaign plans and other adaptive plans.
30781;Task;Provide aim point and reengagement recommendations.
30782;Task;Provide analyses and support for effectiveness assessment.
30783;Task;Provide current intelligence support to critical internal/external stakeholders as appropriate.
30784;Task;Provide cyber focused guidance and advice on intelligence support plan inputs.
30785;Task;Provide evaluation and feedback necessary for improving intelligence production, intelligence reporting, collection requirements, and operations.
30786;Task;"Provide information and assessments for the purposes of informing leadership and customers; developing and refining objectives; supporting operation planning and execution; and assessing the effects of operations."
30787;Task;Provide input for the development and refinement of the cyber operations objectives, priorities, strategies, plans, and programs.
30788;Task;Provide input and assist in post-action effectiveness assessments.
30789;Task;Provide input and assist in the development of plans and guidance.
30790;Task;Provide input for targeting effectiveness assessments for leadership acceptance.
30791;Task;Provide input to the administrative and logistical elements of an operational support plan.
30792;Task;Provide intelligence analysis and support to designated exercises, planning activities, and time sensitive operations.
30793;Task;Provide effectiveness support to designated exercises, and/or time sensitive operations.
30794;Task;Provide operations and reengagement recommendations.
30795;Task;Provide planning support between internal and external partners.
30796;Task;Provide real-time actionable geolocation information.
30797;Task;Provide target recommendations which meet leadership objectives.
30798;Task;Provide targeting products and targeting support as designated.
30799;Task;Provide time sensitive targeting support. 
30800;Task;Provide timely notice of imminent or hostile intentions or activities which may impact organization objectives, resources, or capabilities.
30801;Task;Recommend refinement, adaption, termination, and execution of operational plans as appropriate.
30802;Task;Review appropriate information sources to determine validity and relevance of information gathered.
30803;Task;Reconstruct networks in diagram or report format.
30804;Task;Record information collection and/or environment preparation activities against targets during operations designed to achieve cyber effects.
30805;Task;Report intelligence-derived significant network events and intrusions.
30806;Task;Request discipline-specific processing, exploitation, and disseminate information collected using discipline's collection assets and resources in accordance with approved guidance and/or procedures.
30807;Task;Research communications trends in emerging technologies (in computer and telephony networks, satellite, cable, and wireless) in both open and classified sources.
30808;Task;Review and comprehend organizational leadership objectives and guidance for planning.
30809;Task;Review capabilities of allocated collection assets.
30810;Task;Review intelligence collection guidance for accuracy/applicability.
30811;Task;Review list of prioritized collection requirements and essential information.
30812;Task;Review and update overarching collection plan, as required.
30813;Task;Review, approve, prioritize, and submit operational requirements for research, development, and/or acquisition of cyber capabilities.
30814;Task;Revise collection matrix based on availability of optimal assets and resources.
30815;Task;Sanitize and minimize information to protect sources and methods. 
30816;Task;Scope the cyber intelligence planning effort.
30817;Task;Serve as a conduit of information from partner teams by identifying subject matter experts who can assist in the investigation of complex or unusual situations.
30818;Task;Serve as a liaison with external partners.
30819;Task;Solicit and manage to completion feedback from requestors on quality, timeliness, and effectiveness of collection against collection requirements.
30820;Task;Specify changes to collection plan and/or operational environment that necessitate re-tasking or re-directing of collection assets and resources.
30821;Task;Specify discipline-specific collections and/or taskings that must be executed in the near term.
30822;Task;Submit information requests to collection requirement management section for processing as collection requests.
30823;Task;Submit or respond to requests for deconfliction of cyber operations.
30824;Task;Support identification and documentation of collateral effects.
30825;Task;Synchronize cyber international engagement activities and associated resource requirements as appropriate.
30826;Task;Synchronize cyber portions of security cooperation plans.
30827;Task;Synchronize the integrated employment of all available organic and partner intelligence collection assets using available collaboration capabilities and techniques.
30828;Task;Test and evaluate locally developed tools for operational use.
30829;Task;Test internal developed tools and techniques against target tools. 
30830;Task;Track status of information requests, including those processed as collection requests and production requirements, using established procedures.
30831;Task;Translate collection requests into applicable discipline-specific collection requirements.
30832;Task;Use feedback results (e.g., lesson learned) to identify opportunities to improve collection management efficiency and effectiveness.
30833;Task;Validate requests for information according to established criteria.
30834;Task;Work closely with planners, intelligence analysts, and collection managers to ensure intelligence requirements and collection plans are accurate and up-to-date.
30835;Task;Work closely with planners, analysts, and collection managers to identify intelligence gaps and ensure intelligence requirements are accurate and up-to-date.
30836;Task;Document lessons learned that convey the results of events and/or exercises.
30837;Task;Advise managers and operators on language and cultural issues that impact organization objectives.
30838;Task;Analyze and process information using language and/or cultural expertise.
30839;Task;Assess, document, and apply a target's motivation and/or frame of reference to facilitate analysis, targeting and collection opportunities.
30840;Task;Collaborate across internal and/or external organizational lines to enhance collection, analysis and dissemination.
30841;Task;Conduct all-source target research to include the use of open source materials in the target language. 
30842;Task;Conduct analysis of target communications to identify essential information in support of organization objectives. 
30843;Task;Perform quality review and provide feedback on transcribed or translated materials.
30844;Task;Evaluate and interpret metadata to look for patterns, anomalies, or events, thereby optimizing targeting, analysis and processing.
30845;Task;Identify cyber threat tactics and methodologies.
30846;Task;Identify target communications within the global network.
30847;Task;Maintain awareness of target communication tools, techniques, and the characteristics of target communication networks (e.g., capacity, functionality, paths, critical nodes) and their potential implications for targeting, collection, and analysis.
30848;Task;Provide feedback to collection managers to enhance future collection and analysis.
30849;Task;Perform foreign language and dialect identification in initial source data.
30850;Task;Perform or support technical network analysis and mapping. 
30851;Task;Provide requirements and feedback to optimize the development of language processing tools.
30852;Task;Perform social network analysis and document as appropriate. 
30853;Task;Scan, identify and prioritize target graphic (including machine-to-machine communications) and/or voice language material.
30854;Task;Tip critical or time-sensitive information to appropriate customers. 
30855;Task;Transcribe target voice materials in the target language. 
30856;Task;Translate (e.g., verbatim, gist, and/or summaries) target graphic material.
30857;Task;Translate (e.g., verbatim, gist, and/or summaries) target voice material.
30858;Task;Identify foreign language terminology within computer programs (e.g., comments, variable names).
30859;Task;Provide near-real time language analysis support (e.g., live operations). 
30860;Task;Identify cyber/technology-related terminology in the target language.
30861;Task;Work with the general counsel, external affairs and businesses to ensure both existing and new services comply with privacy and data security obligations.
30862;Task;Work with legal counsel and management, key departments and committees to ensure the organization has and maintains appropriate privacy and confidentiality consent, authorization forms and information notices and materials reflecting current organization and legal practices and requirements.
30863;Task;Coordinate with the appropriate regulating bodies to ensure that programs, policies and procedures involving civil rights, civil liberties and privacy considerations are addressed in an integrated and comprehensive manner.
30864;Task;Liaise with regulatory and accrediting bodies.
30865;Task;Work with external affairs to develop relationships with regulators and other government officials responsible for privacy and data security issues.
30866;Task;Maintain current knowledge of applicable federal and state privacy laws and accreditation standards, and monitor advancements in information privacy technologies to ensure organizational adaptation and compliance.
30867;Task;Ensure all processing and/or databases are registered with the local privacy/data protection authorities where required.
30868;Task;Work with business teams and senior management to ensure awareness of “best practices” on privacy and data security issues.
30869;Task;Work with organization senior management to establish an organization-wide Privacy Oversight Committee
30870;Task;Serve in a leadership role for Privacy Oversight Committee activities
30871;Task;Collaborate on cyber privacy and security policies and procedures
30872;Task;Collaborate with cybersecurity personnel on the security risk assessment process to address privacy compliance and risk mitigation
30873;Task;Interface with Senior Management to develop strategic plans for the collection, use and sharing of information in a manner that maximizes its value while complying with applicable privacy regulations
